10.98	5.20	0.61	7.40	31.00	20.00	22.00	35.30	54.80	4.00
11.13	5.12	0.64	8.00	29.00	20.00	25.00	29.70	64.00	5.00
12.51	6.19	0.78	7.40	31.00	23.00	17.00	30.80	54.80	4.00
8.40	3.89	0.49	7.50	30.00	20.00	22.00	58.80	56.30	4.00
9.27	6.28	0.84	5.50	31.00	21.00	0.00	61.40	30.30	5.00
8.73	5.76	0.74	8.90	30.00	22.00	0.00	71.30	79.20	4.00
6.36	3.45	0.42	4.10	31.00	11.00	0.00	74.40	16.80	2.00
8.50	6.57	0.87	4.10	31.00	23.00	0.00	76.70	16.80	5.00
7.82	5.69	0.75	4.10	30.00	21.00	0.00	70.70	16.80	4.00
9.14	6.14	0.76	4.50	31.00	20.00	0.00	57.50	20.30	5.00
8.24	4.84	0.65	10.30	30.00	20.00	11.00	46.40	106.10	4.00
12.19	4.88	0.62	6.90	31.00	21.00	12.00	28.90	47.60	4.00
11.88	6.03	0.79	6.60	31.00	21.00	25.00	28.10	43.60	5.00
9.57	4.55	0.60	7.30	28.00	19.00	18.00	39.10	53.30	5.00
10.94	5.71	0.70	8.10	31.00	23.00	5.00	46.80	65.60	4.00
9.58	5.67	0.74	8.40	30.00	20.00	7.00	48.50	70.60	4.00
10.09	6.72	0.85	6.10	31.00	22.00	0.00	59.30	37.20	6.00
8.11	4.95	0.67	4.90	30.00	22.00	0.00	70.00	24.00	4.00
6.83	4.62	0.45	4.60	31.00	11.00	0.00	70.00	21.20	3.00
8.88	6.60	0.95	3.70	31.00	23.00	0.00	74.50	13.70	4.00
7.68	5.01	0.64	4.70	30.00	20.00	0.00	72.10	22.10	4.00
8.47	5.68	0.75	5.30	31.00	21.00	1.00	58.10	28.10	6.00
8.86	5.28	0.70	6.20	30.00	20.00	14.00	44.60	38.40	4.00
10.36	5.36	0.67	6.80	31.00	20.00	22.00	33.40	46.20	4.00
11.08	5.87	0.70	7.50	31.00	22.00	28.00	28.60	56.30	5.00
